Fecha,USD
03/01/1996,17.4
04/01/1996,17.41
05/01/1996,17.7
08/01/1996,17.54
09/01/1996,17.41
10/01/1996,17.21
11/01/1996,16.56
12/01/1996,16.08
15/01/1996,16.12
16/01/1996,15.95
17/01/1996,16.21
18/01/1996,16.44
19/01/1996,16.14
22/01/1996,15.91
24/01/1996,16.01
25/01/1996,15.47
26/01/1996,15.07
29/01/1996,14.78
30/01/1996,14.93
31/01/1996,15.12
01/02/1996,15.21
02/02/1996,15.4
06/02/1996,15.37
08/02/1996,15.5
09/02/1996,15.55
12/02/1996,15.61
13/02/1996,16.4
14/02/1996,16.42
15/02/1996,16.61
16/02/1996,16.64
20/02/1996,17.66
21/02/1996,18.1
22/02/1996,17.87
23/02/1996,17.26
26/02/1996,16.83
27/02/1996,17.07
28/02/1996,16.82
01/03/1996,17.67
04/03/1996,16.62
05/03/1996,16.94
06/03/1996,17.21
07/03/1996,17.08
08/03/1996,17.12
12/03/1996,17.59
13/03/1996,17.58
14/03/1996,17.99
15/03/1996,18.41
18/03/1996,20.09
19/03/1996,20.48
20/03/1996,19.53
22/03/1996,20.01
25/03/1996,19.42
26/03/1996,18.96
27/03/1996,18.68
28/03/1996,18.3
29/03/1996,18.35
01/04/1996,18.99
03/04/1996,18.97
08/04/1996,19.37
09/04/1996,19.55
10/04/1996,20.48
11/04/1996,21.3
12/04/1996,21.3
15/04/1996,20.93
16/04/1996,20.11
17/04/1996,19.95
18/04/1996,19.06
19/04/1996,19.09
22/04/1996,19.26
23/04/1996,19.96
24/04/1996,19.6
25/04/1996,19.56
26/04/1996,18.57
29/04/1996,18.53
30/04/1996,17.61
02/05/1996,17.38
03/05/1996,17.38
07/05/1996,17.91
08/05/1996,18
09/05/1996,17.44
13/05/1996,17.96
14/05/1996,20.45
15/05/1996,17.99
16/05/1996,17.21
20/05/1996,18.11
21/05/1996,18.13
22/05/1996,18.4
23/05/1996,18.12
28/05/1996,17.71
29/05/1996,17.29
30/05/1996,16.62
31/05/1996,16.48
03/06/1996,16.64
05/06/1996,16.58
06/06/1996,16.77
07/06/1996,16.99
10/06/1996,16.92
11/06/1996,16.75
12/06/1996,16.8
13/06/1996,16.71
14/06/1996,16.71
17/06/1996,17.17
18/06/1996,17.63
19/06/1996,17.28
21/06/1996,17.07
24/06/1996,16.86
25/06/1996,16.79
